table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__PmsRoomBlock__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__History,DataType,
dev_hotel_sales,nihrm__Booking__c,Date_Flexibility__c,
dev_hotel_sales,nihrm__Inquiry__c,Date_Flexibility__c,
dev_hotel_sales,nihrm__Booking__c,Do_Not_Call__c,
dev_hotel_sales,nihrm__Booking__c,Engineering__c,
dev_hotel_sales,nihrm__Inquiry__c,Estimated_Inquiry_Revenue__c,
dev_hotel_sales,nihrm__Booking__c,F_B_Min__c,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__History,Field,
dev_hotel_sales,nihrm__Booking__c,Food_Beverage_Outlets__c,
dev_hotel_sales,nihrm__Location__c,Food_Tax__c,
dev_hotel_sales,nihrm__Location__c,Function_Space_Informatin__c,
dev_hotel_sales,nihrm__VolumeContract__c,GDS__c,
dev_hotel_sales,nihrm__Location__c,Gift_Bags__c,
dev_hotel_sales,nihrm__Location__c,Gratuity__c,
dev_hotel_sales,nihrm__Booking__c,HMS_External_Reference_ID__c,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,High_Season_Contracted_Rate__c,
dev_hotel_sales,nihrm__VolumeContract__c,High_Season_Contracted_Rate__c,
dev_hotel_sales,nihrm__VolumeContract__c,High_Season_Rate_Deluxe_Room__c,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__History,Id,
dev_hotel_sales,nihrm__VolumeContractGuestroomType__c,Id,
dev_hotel_sales,nihrm__ChannelPackage__c,Id,
dev_hotel_sales,nihrm__BookingTax__c,Id,
dev_hotel_sales,nihrm__PackageItem__c,Id,
dev_hotel_sales,nihrm__FunctionRoomAlternatePrice__c,Id,
dev_hotel_sales,nihrm__BookingOtherIncome__c,Id,
dev_hotel_sales,nihrm__ChannelLocationItem__c,Id,
dev_hotel_sales,nihrm__RevenueClassification__c,Id,
dev_hotel_sales,nihrm__Package__c,Id,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,Id,
dev_hotel_sales,nihrm__GuestroomType__c,Id,
dev_hotel_sales,nihrm__FunctionRoomGroup__c,Id,
dev_hotel_sales,nihrm__FunctionRoomGroupComponent__c,Id,
dev_hotel_sales,nihrm__EventClassification__c,Id,
dev_hotel_sales,nihrm__VolumeContract__c,Id,
dev_hotel_sales,nihrm__PmsRoomNight__c,Id,
dev_hotel_sales,nihrm__ReservationNight__c,Id,
dev_hotel_sales,nihrm__Channel__c,Id,
dev_hotel_sales,nihrm__Booking__c,Id,
dev_hotel_sales,sertifisem__DataMapItem__c,Id,
dev_hotel_sales,nihrm__BookingContact__c,Id,
dev_hotel_sales,nihrm__OtherIncome__c,Id,
dev_hotel_sales,nihrm__Reservation__c,Id,
dev_hotel_sales,nihrm__Transaction__c,Id,
dev_hotel_sales,nihrm__PicklistMapping__c,Id,
dev_hotel_sales,nihrm__EventItemAlternatePrice__c,Id,
dev_hotel_sales,nihrm__VolumeContractPickup__c,Id,
dev_hotel_sales,nihrm__PackageEvent__c,Id,
dev_hotel_sales,nihrm__EventItem__c,Id,
dev_hotel_sales,nihrm__ChannelLocation__c,Id,
dev_hotel_sales,nihrm__SiteRateCode__c,Id,
dev_hotel_sales,nihrm__EventPackageItem__c,Id,
dev_hotel_sales,nihrm__RoomBlockRevenue__c,Id,
dev_hotel_sales,nihrm__Site__c,Id,
dev_hotel_sales,nihrm__Location__c,Id,
dev_hotel_sales,nihrm__CustomMapping__c,Id,
dev_hotel_sales,sertifisem__DataMap__c,Id,
dev_hotel_sales,nihrm__RateCode__c,Id,
dev_hotel_sales,nihrm__SalesGoal__c,Id,
dev_hotel_sales,nihrm__VolumeContractContact__c,Id,
dev_hotel_sales,nihrm__Item__c,Id,
dev_hotel_sales,nihrm__EventPackageRevenueBreakdown__c,Id,
